EO pos[mm]	Time[ps]	AVG[arb.u.]	Norm[arb.u.]	
53.396	356.219768544011	9.13927115	0.0251632510748786	
53.412	356.326509054474	8.87682405	0.0244406527229112	
53.428	356.433249564937	8.84369978	0.02434945132304	
53.444	356.539990075401	8.94511131	0.0246286687518038	
53.46	356.646730585864	9.4333137	0.0259728415105829	
53.476	356.753471096328	9.63868489	0.0265382921611543	
53.492	356.860211606791	9.36808419	0.0257932444168232	
53.508	356.966952117254	8.74228814	0.0240702335914121	
53.524	357.073692627718	7.90806339	0.0217733538410911	
53.54	357.180433138181	8.87835289	0.0244448620941118	
53.556	357.287173648645	9.34413269	0.0257272985007619	
53.572	357.393914159108	7.38011178	0.0203197391381488	
53.588	357.500654669571	8.1511454	0.0224426340877349	
53.604	357.607395180035	8.20975011	0.0226039910501991	
53.62	357.714135690498	7.08199237	0.0194989238410642	
53.636	357.820876200962	6.43886979	0.0177282076989499	
