EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
52.734	351.803379923587	6.56932888	6.76450792	7.68587528	7.00657069333333	0.0127130280389438	
52.75	351.91012043405	12.6132541	12.6000044	13.7838186	12.9990257	0.0235860002611964	
52.766	352.016860944514	19.6977945	19.3262918	20.1370749	19.7203870666667	0.0357815320347659	
52.782	352.123601454977	20.1559301	20.7751013	21.0523267	20.6611193666667	0.0374884378279836	
52.798	352.230341965441	19.7910524	19.1163344	19.5867007	19.4980291666667	0.0353780761444156	
52.814	352.337082475904	18.6969285	18.0660368	18.471683	18.4115494333333	0.03340671983929	
52.83	352.443822986367	20.7450344	19.9464823	19.8649453	20.1854873333333	0.0366254302825463	
52.846	352.550563496831	18.9588661	20.134017	19.1183727	19.4037519333333	0.0352070154125313	
52.862	352.657304007294	13.5835436	14.2603001	14.0600251	13.9679562666667	0.0253440702216613	
52.878	352.764044517758	6.04392527	5.7070758	5.47724358	5.74274821666667	0.0104198933107952	
52.894	352.870785028221	-1.814196784	-2.749323501	-4.09009647	-2.88453891833333	-0.00523383346193717	
52.91	352.977525538684	-7.54624328	-8.9089293	-9.48172625	-8.64563294333333	-0.0156870142090471	
52.926	353.084266049148	-10.83167217	-12.26519333	-13.6971858	-12.2646837666667	-0.0222535781681001	
52.942	353.191006559611	-14.2185125	-14.9844502	-16.2136195	-15.1388607333333	-0.0274686104521369	
52.958	353.297747070075	-16.8292232	-18.7234282	-18.6352665	-18.0626393	-0.0327736420467033	
52.974	353.404487580538	-13.4418734	-16.365482	-15.5669298	-15.1247617333333	-0.0274430286104391	
52.99	353.511228091002	-1.630229101	-2.8278028	-0.933088308	-1.79704006966667	-0.0032606280294175	
53.006	353.617968601465	12.12403264	11.96452593	13.7308198	12.6064594566667	0.0228737109149421	
53.022	353.724709111928	24.0054928	23.2471992	25.2805265	24.1777395	0.0438691470670867	
53.038	353.831449622392	30.1452239	31.428921	32.8211642	31.4651030333333	0.0570916579050053	
53.054	353.938190132855	34.3464144	35.5429689	35.5679396	35.1524409666667	0.0637821249804508	
53.07	354.044930643319	34.0121129	35.1092943	34.9936138	34.705007	0.0629702812393719	
53.086	354.151671153782	27.3026425	27.5905699	26.9076979	27.2669701	0.0494743820608521	
53.102	354.258411664245	18.4727021	18.8329935	18.4828942	18.5961966	0.0337417517271975	
53.118	354.365152174709	11.15425257	11.52473601	11.48243878	11.3871424533333	0.0206613288624086	
53.134	354.471892685172	6.81954535	6.54945424	5.58986644	6.31962201	0.0114665983296366	
53.15	354.578633195636	1.588951014	0.571777751	-0.5534319363	0.535765609566667	0.000972116533870647	
53.166	354.685373706099	-6.58155942	-8.27956609	-8.33052676	-7.73055075666667	-0.0140266491023194	
53.182	354.792114216562	-11.6363396	-14.0554387	-13.8994993	-13.1970925333333	-0.0239453813787162	
53.198	354.898854727026	-10.41940102	-12.7493189	-12.3146251	-11.8277816733333	-0.0214608439182188	
53.214	355.005595237489	-4.14921075	-6.05411739	-6.47861899	-5.56064904333333	-0.0100894846133339	
53.23	355.112335747953	0.4667989455	-0.396473341	-0.699688819	-0.209787738166667	-0.000380648039429202	
53.246	355.219076258416	3.11776851	2.609691494	3.45308919	3.06018306466667	0.00555252987633811	
53.262	355.325816768879	11.03500491	9.53523491	10.38016135	10.31680039	0.0187192534509145	
53.278	355.432557279343	22.5016458	23.6604897	22.2132091	22.7917815333333	0.0413544043688083	
53.294	355.539297789806	29.2080588	29.6779153	30.1752905	29.6870882	0.0538655500957554	
53.31	355.64603830027	29.1942993	28.7040585	29.6529447	29.1837675	0.0529523030235794	
53.326	355.752778810733	28.2652877	27.2292592	27.3174213	27.6039894	0.0500858846058335	
53.342	355.859519321197	27.4091499	27.7770857	26.9326686	27.3729680666667	0.0496667094034687	
53.358	355.96625983166	22.6845945	23.87962	22.1311624	22.8984589666667	0.0415479645654363	
53.374	356.073000342123	13.4979299	13.9927572	13.0250156	13.5052342333333	0.0245044871443649	
53.39	356.179740852587	6.38892841	5.33964999	5.61993319	5.78283719666667	0.0104926325079145	
53.406	356.28648136305	3.78178493	3.28491924	3.24924684	3.43865033666667	0.00623923743290877	
53.422	356.393221873514	4.12016322	2.605614655	3.286448051	3.337408642	0.00605554007804841	
53.438	356.499962383977	3.51118424	2.842581386	2.30953366	2.88776642866667	0.00523968959772164	
53.454	356.60670289444	3.809303665	3.3863308	3.73490121	3.64351189166667	0.00661094719033614	
53.47	356.713443404904	6.26152695	4.68939294	4.76124739	5.23738909333333	0.00950294763424826	
53.486	356.820183915367	2.921060682	2.767669331	3.442897057	3.04387569	0.00552294106314364	
53.502	356.926924425831	-1.120113637	-2.550067629	-0.996279406	-1.55548689066667	-0.00282234338605482	
53.518	357.033664936294	-2.314629717	-3.32059165	-3.74662214	-3.127281169	-0.00567427560889188	
53.534	357.140405446757	1.501808416	0.26499504	1.403454481	1.05675264566667	0.00191741817824962	
53.55	357.247145957221	9.25036515	8.68674115	9.04958049	8.99556226333333	0.0163219412584582	
53.566	357.353886467684	18.0614501	16.9306349	17.9488274	17.6469708	0.0320194349564311	
53.582	357.460626978148	24.6017315	24.2251327	23.8199961	24.2156201	0.0439378792830322	
53.598	357.567367488611	25.8996975	26.6228283	26.6146746	26.3790668	0.0478633315137548	
53.614	357.674107999074	22.7737754	21.354523	23.3149767	22.4810917	0.0407906751586914	
53.63	357.780848509538	20.5559706	20.3021868	20.6828625	20.5136733	0.0372209052415288	
53.646	357.887589020001	19.9179443	19.2055154	20.0840757	19.7358451333333	0.0358095798264121	
53.662	357.994329530465	18.1312662	17.6517271	16.6773608	17.4867847	0.0317287862967827	
53.678	358.101070040928	10.96315051	9.96075578	10.46781361	10.4639066333333	0.0189861694470636	
53.694	358.207810551392	2.409926024	1.865157386	0.473933428	1.58300561266667	0.00287227455776408	
53.71	358.314551061855	-1.931915738	-3.64979703	-3.710949729	-3.09755416566667	-0.00562033763503399	
