EO pos[mm]	Time[ps]	AVG[arb.u.]	Norm[arb.u.]	
52.692	351.523186083621	7.79136367	0.0127719329136416	
52.708	351.629926594084	9.30234507	0.0152487975411864	
52.724	351.736667104547	9.52045633	0.0156063347449953	
52.74	351.843407615011	9.31355625	0.0152671753816913	
52.756	351.950148125474	10.83320088	0.017758241142319	
52.772	352.056888635938	9.55205192	0.0156581275726617	
52.788	352.163629146401	9.58466659	0.0157115909193727	
52.804	352.270369656864	9.66365567	0.0158410731606592	
52.82	352.377110167328	8.95428424	0.0146782415051817	
52.836	352.483850677791	10.30626855	0.0168944713769951	
52.852	352.590591188255	8.09559838	0.0132706473198351	
52.868	352.697331698718	6.73596998	0.0110418869323377	
52.884	352.804072209181	6.95561006	0.0114019302425619	
52.9	352.910812719645	5.48183003	0.00898604767439203	
52.916	353.017553230108	6.25337325	0.0102507939579929	
52.932	353.124293740572	5.76058441	0.00944299364579523	
52.948	353.231034251035	6.03271394	0.00988907988283784	
52.964	353.337774761498	7.72613415	0.012665005925156	
52.98	353.444515271962	8.9496978	0.0146707232187207	
52.996	353.551255782425	8.6250788	0.0141385940220748	
53.012	353.657996292889	7.92386122	0.0129891285024367	
53.028	353.764736803352	9.52198511	0.0156088407858408	
53.044	353.871477313816	9.01645602	0.0147801561169125	
53.06	353.978217824279	9.82927744	0.0161125673720799	
53.076	354.084958334742	8.27497965	0.0135646966857022	
53.092	354.191698845206	7.75365284	0.0127101157258838	
53.108	354.298439355669	8.28670051	0.0135839100152233	
53.124	354.405179866133	8.57360862	0.0140542219257569	
53.14	354.511920376596	7.64510674	0.0125321823671092	
53.156	354.618660887059	8.29026774	0.0135897575695382	
53.172	354.725401397523	7.39387121	0.0121203464587126	
53.188	354.832141907986	8.55577252	0.0140249842361444	
53.204	354.93888241845	10.37047884	0.0169997276005498	
53.22	355.045622928913	9.16933781	0.0150307664141979	
53.236	355.152363439376	10.4061512	0.0170582032420534	
53.252	355.25910394984	11.02990892	0.0180806932825172	
53.268	355.365844460303	10.88416151	0.0178417779627222	
53.284	355.472584970767	10.46628485	0.0171567768648724	
53.3	355.57932548123	12.2692702	0.0201123067194401	
53.316	355.686065991694	11.90133479	0.0195091714311763	
53.332	355.792806502157	9.41394867	0.0154317428832976	
53.348	355.89954701262	10.11210856	0.0165761961081431	
53.364	356.006287523084	10.58960939	0.0173589356676441	
53.38	356.113028033547	10.41430502	0.0170715693287156	
53.396	356.219768544011	8.42837092	0.0138161421441554	
53.412	356.326509054474	7.50394595	0.0123007856288388	
53.428	356.433249564937	7.70167306	0.0126249082716891	
53.444	356.539990075401	7.01268596	0.0114954914722337	
53.46	356.646730585864	6.98210961	0.0114453694258906	
53.476	356.753471096328	5.99958956	0.00983478099793341	
53.492	356.860211606791	6.69673038	0.0109775637201268	
53.508	356.966952117254	6.34561193	0.0104019955040764	
53.524	357.073692627718	7.01013786	0.0114913145189254	
53.54	357.180433138181	6.88018841	0.0112782958834387	
53.556	357.287173648645	7.61554968	0.0124837311840515	
53.572	357.393914159108	8.2026156	0.0134460744738399	
53.588	357.500654669571	7.00198421	0.0114779487109344	
53.604	357.607395180035	5.82887163	0.00955493294546587	
53.62	357.714135690498	6.80782441	0.0111596737535384	
53.636	357.820876200962	7.07740586	0.0116015830700576	
