D:\Data\Install\2023-11-16\20231116-085401_La scala day--ESp_Cayman_iXPS-ESp_Cayman--1_1-Detector_Region.vms
Survey
	Characteristic Energy eV	1486.7	Acquisition Time s	0.1	Step Size eV	0.344322	No Steps	4096



KE_Survey	BE_Survey	Background_Survey
263.337	1223.36	1983.03
263.682	1223.02	1923.72
264.026	1222.67	2037.42
264.37	1222.33	2040.13
264.715	1221.99	1869.47
265.059	1221.64	1888.09
265.403	1221.3	1895.98
265.748	1220.95	1919.32
266.092	1220.61	1910.79
266.436	1220.26	1773.74
266.781	1219.92	1942.76
267.125	1219.58	2057.92
267.469	1219.23	1906.27
267.814	1218.89	2018.67
268.158	1218.54	1938.37
268.502	1218.2	1802.41
268.847	1217.85	2019.43
269.191	1217.51	2011.13
269.535	1217.16	2054.77
269.879	1216.82	2106.96
270.224	1216.48	1899.47
270.568	1216.13	1978.74
270.912	1215.79	1949.84
271.257	1215.44	2042.38
271.601	1215.1	1885.49
271.945	1214.75	2013.63
272.29	1214.41	1966.57
272.634	1214.07	1997.6
272.978	1213.72	1887.59
273.323	1213.38	1996.21
273.667	1213.03	1881.23
274.011	1212.69	2027.31
274.356	1212.34	1966.03
274.7	1212	2154.07
275.044	1211.66	1961.58
275.389	1211.31	1933.07
275.733	1210.97	1895.25
276.077	1210.62	1993.27
276.422	1210.28	2086.95
276.766	1209.93	1954.72
277.11	1209.59	2131.67
277.455	1209.25	2060.36
277.799	1208.9	2063.78
278.143	1208.56	1951.6
278.488	1208.21	1991.07
278.832	1207.87	1778.89
279.176	1207.52	2009.77
279.521	1207.18	1938.71
279.865	1206.84	2019.29
280.209	1206.49	2083.55
280.553	1206.15	1919.92
280.898	1205.8	1992.25
281.242	1205.46	2100.91
281.586	1205.11	2042.92
281.931	1204.77	2067.88
282.275	1204.42	2102.5
282.619	1204.08	2110.54
282.964	1203.74	2079.58
283.308	1203.39	2011.8
283.652	1203.05	2082.08
283.997	1202.7	1975.02
284.341	1202.36	2141.04
284.685	1202.01	2103.99
285.03	1201.67	2030.2
285.374	1201.33	2188.04
285.718	1200.98	2047.52
286.063	1200.64	2112.92
286.407	1200.29	2095.2
286.751	1199.95	2132.08
287.096	1199.6	2321.92
287.44	1199.26	2207.89
287.784	1198.92	2225.85
288.129	1198.57	2324.15
288.473	1198.23	2398.42
288.817	1197.88	2380.02
289.162	1197.54	2117.39
289.506	1197.19	2297.18
289.85	1196.85	2467.03
290.195	1196.51	2394.14
290.539	1196.16	2325.09
290.883	1195.82	2302.19
291.227	1195.47	2357.47
291.572	1195.13	2418.31
291.916	1194.78	2389.24
292.26	1194.44	2557.48
292.605	1194.1	2532.03
292.949	1193.75	2242.16
293.293	1193.41	2484.86
293.638	1193.06	2586.26
293.982	1192.72	2627.69
294.326	1192.37	2753.93
294.671	1192.03	2844.31
295.015	1191.68	2801.6
295.359	1191.34	2886.08
295.704	1191	3062.43
296.048	1190.65	2983.68
296.392	1190.31	3042.29
296.737	1189.96	2824.36
297.081	1189.62	2914.42
297.425	1189.27	3740.93
297.77	1188.93	3799.45
298.114	1188.59	3816.68
298.458	1188.24	4104.62
298.803	1187.9	4457.4
299.147	1187.55	4392.77
299.491	1187.21	4897.85
299.836	1186.86	5014.36
300.18	1186.52	5525.42
300.524	1186.18	5416.43
300.868	1185.83	5081.87
301.213	1185.49	5624.39
301.557	1185.14	5792.94
301.901	1184.8	6145.39
302.246	1184.45	5591.25
302.59	1184.11	5474.78
302.934	1183.77	5899.88
303.279	1183.42	5365.91
303.623	1183.08	5560.08
303.967	1182.73	5200.53
304.312	1182.39	4844.19
304.656	1182.04	4769.9
305	1181.7	4470.85
305.345	1181.36	4174.31
305.689	1181.01	3835.69
306.033	1180.67	3626.5
306.378	1180.32	3224.63
306.722	1179.98	2807.71
307.066	1179.63	2727.47
307.411	1179.29	2726.53
307.755	1178.95	2828.17
308.099	1178.6	2531.3
